asset_tag,name,model_name,manufacturer,category,status_label,notes,serial,requestable
TAG-00053,Zoom #5,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00054,Zoom #6,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00055,Zoom #7,H6 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/2 Capsule Mics/1 foam windscreen/SD Card/AA Rechargeable Batteries/Transfer Cable | Preference given to MC 204 students but can be used by advanced classes as well,,1
TAG-00056,Zoom #8,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00057,Zoom #9,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00058,Zoom #10,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00059,Zoom #11,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00060,Zoom #12,H6 Essential,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Fuzzy Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00061,Zoom #13,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00062,Zoom #14,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
